AVAL|A-001|0|The cat sat on the mat.
AVAL|A-001|1|The feline sat on the mat.
AVAL|A-001|2|The feline sat on the rug.
AVAL|A-001|3|The feline rested on the rug.
AVAL|A-001|4|The cat rested on the rug.
AVAL|A-001|5|The cat rested on the mat.
AVAL|A-001|6|The cat sat on the mat.
AVAL|A-002|0|The dog slept in the house.
AVAL|A-002|1|The canine slept in the house.
AVAL|A-002|2|The canine slept in the home.
AVAL|A-002|3|The canine dozed in the home.
AVAL|A-002|4|The dog dozed in the home.
AVAL|A-002|5|The dog dozed in the house.
AVAL|A-002|6|The dog slept in the house.
AVAL|A-003|0|The child waited on the mat.
AVAL|A-003|1|The kid waited on the mat.
AVAL|A-003|2|The kid waited on the rug.
AVAL|A-003|3|The kid lingered on the rug.
AVAL|A-003|4|The child lingered on the rug.
AVAL|A-003|5|The child lingered on the mat.
AVAL|A-003|6|The child waited on the mat.
AVAL|A-004|0|The cat slept under the rug.
AVAL|A-004|1|The feline slept under the rug.
AVAL|A-004|2|The feline slept under the mat.
AVAL|A-004|3|The feline dozed under the mat.
AVAL|A-004|4|The cat dozed under the mat.
AVAL|A-004|5|The cat dozed under the rug.
AVAL|A-004|6|The cat slept under the rug.
AVAL|A-005|0|The dog sat on the rug.
AVAL|A-005|1|The canine sat on the rug.
AVAL|A-005|2|The canine sat on the mat.
AVAL|A-005|3|The canine rested on the mat.
AVAL|A-005|4|The dog rested on the mat.
AVAL|A-005|5|The dog rested on the rug.
AVAL|A-005|6|The dog sat on the rug.
AVAL|A-006|0|The child sat in the house.
AVAL|A-006|1|The kid sat in the house.
AVAL|A-006|2|The kid sat in the home.
AVAL|A-006|3|The kid rested in the home.
AVAL|A-006|4|The child rested in the home.
AVAL|A-006|5|The child rested in the house.
AVAL|A-006|6|The child sat in the house.
AVAL|A-007|0|The car waited on the mat.
AVAL|A-007|1|The automobile waited on the mat.
AVAL|A-007|2|The automobile waited on the rug.
AVAL|A-007|3|The automobile lingered on the rug.
AVAL|A-007|4|The car lingered on the rug.
AVAL|A-007|5|The car lingered on the mat.
AVAL|A-007|6|The car waited on the mat.
AVAL|A-008|0|The house slept in the rug.
AVAL|A-008|1|The home slept in the rug.
AVAL|A-008|2|The home slept in the mat.
AVAL|A-008|3|The home dozed in the mat.
AVAL|A-008|4|The house dozed in the mat.
AVAL|A-008|5|The house dozed in the rug.
AVAL|A-008|6|The house slept in the rug.
AVAL|A-009|0|The cat waited in the house.
AVAL|A-009|1|The feline waited in the house.
AVAL|A-009|2|The feline waited in the home.
AVAL|A-009|3|The feline lingered in the home.
AVAL|A-009|4|The cat lingered in the home.
AVAL|A-009|5|The cat lingered in the house.
AVAL|A-009|6|The cat waited in the house.
AVAL|A-010|0|The dog waited under the mat.
AVAL|A-010|1|The canine waited under the mat.
AVAL|A-010|2|The canine waited under the rug.
AVAL|A-010|3|The canine lingered under the rug.
AVAL|A-010|4|The dog lingered under the rug.
AVAL|A-010|5|The dog lingered under the mat.
AVAL|A-010|6|The dog waited under the mat.
AVAL|A-011|0|The dog chased the cat.
AVAL|A-011|1|The canine chased the cat.
AVAL|A-011|2|The canine chased the feline.
AVAL|A-011|3|The canine pursued the feline.
AVAL|A-011|4|The dog pursued the feline.
AVAL|A-011|5|The dog pursued the cat.
AVAL|A-011|6|The dog chased the cat.
AVAL|A-012|0|The cat chased the dog.
AVAL|A-012|1|The feline chased the dog.
AVAL|A-012|2|The feline chased the canine.
AVAL|A-012|3|The feline pursued the canine.
AVAL|A-012|4|The cat pursued the canine.
AVAL|A-012|5|The cat pursued the dog.
AVAL|A-012|6|The cat chased the dog.
AVAL|A-013|0|The chef built the house.
AVAL|A-013|1|The cook built the house.
AVAL|A-013|2|The cook built the home.
AVAL|A-013|3|The cook constructed the home.
AVAL|A-013|4|The chef constructed the home.
AVAL|A-013|5|The chef constructed the house.
AVAL|A-013|6|The chef built the house.
AVAL|A-014|0|The child bought the car.
AVAL|A-014|1|The kid bought the car.
AVAL|A-014|2|The kid bought the automobile.
AVAL|A-014|3|The kid purchased the automobile.
AVAL|A-014|4|The child purchased the automobile.
AVAL|A-014|5|The child purchased the car.
AVAL|A-014|6|The child bought the car.
